ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,687,925,27,49,0,completed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,69.9,39.7,33.6,66.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,680,10560,20,49,0,completed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,26.1,81.5,57.9,97.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,679,9470,19,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,57.9,96.9,41.3,88.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,675,2948,15,49,0,completed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,39.0,82.7,44.1,36.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,672,729,12,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,45.0,34.8,43.3,20
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,671,925,11,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,43.4,19.4,35.6,38
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,668,2948,8,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,35.8,38.5,47.8,53
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,667,9470,7,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,48.0,52.8,42.4,63.9
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,666,925,6,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,42.4,63.9,28.1,65.8
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,664,905,4,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,28.1,65.8,30.1,36.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,888,82,48,49,0,failed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,65.4,37.7,8.8,37.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,862,10955,22,49,0,failed,true,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,45.7,4.6,39.4,4
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,845,8088,5,309,0,failed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,79.9,100.0,72.7,94.4
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,12,730,10955,10,49,0,failed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,93.0,41.0,95.7,21.9
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,714,544,54,49,0,failed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,35.6,4.4,34.8,2.3
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,705,2074,45,309,0,failed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,81.7,91.8,44.7,96
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,700,2948,40,49,0,failed,true,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,63.1,37.6,43.4,53.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,694,10072,34,309,0,failed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,72.4,32.8,46.4,42.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,690,87,30,49,0,failed,true,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,76.7,61.1,69.9,39.7
,,,,,,,,,21/27,0,21,6,0,0,49,0,3,,,,,,,,,,,,,,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,,,,
,,,,,,,,,7/10,0,7,3,0,0,309,0,0,,,,,,,,,,,,,,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,,,,
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1194,8206,54,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,71.9,56.7,76,56
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1195,10072,55,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,90.0,84.5,73.8,59.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1186,15280,46,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,92.0,2.2,83.4,9.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1185,10504,45,309,1,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,83.4,9.2,76.9,0
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1165,10504,25,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,79.2,12.8,79.2,3.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1164,15280,24,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,79.2,3.2,77,9.5
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1162,11309,22,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,77.0,9.5,70,2.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1160,10504,20,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,69.9,1.3,74.9,1.4
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,19,1159,11309,19,309,0,completed,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,74.9,1.4,74.1,7.6
